sample_id,species,environment,treatment_t_acre,temperature_c,rainfall_mm,soil_n_mgkg,soil_p_mgkg,soil_k_mgkg,tissue_n_pct,tissue_p_pct,tissue_k_pct,canopy_moisture,chlorophyll_proxy,ndvi,ndre,ndmi,red_edge_slope,nir_mean,swir_mean,stress_flag,stress_probability,risk_score,scouting_priority
DF-S056,White,Open field,5,30.098,99.984,33.406,25.621,115.986,1.743,0.355,1.866,0.8297,31.149,0.6155,0.3173,0.6247,0.01838,0.6042,0.129,0,0.087,25.21,Normal
DF-S057,White,Open field,5,31.676,167.825,45.379,16.158,98.249,1.8,0.29,1.673,0.8794,32.299,0.6456,0.3639,0.6854,0.02013,0.5919,0.0892,0,0.2205,24.99,Normal
DF-S058,Red,Open field,5,29.396,160.258,42.613,21.914,114.979,1.799,0.383,1.813,0.887,34.32,0.648,0.3672,0.6885,0.01962,0.6008,0.1084,0,0.0959,19.75,Normal
DF-S059,White,Open field,0,27.035,176.265,40.978,22.575,85.236,1.808,0.374,1.518,0.9025,31.169,0.6685,0.3544,0.7083,0.0199,0.6125,0.1017,0,0.051,17.36,Normal
DF-S060,Red,High tunnel,20,29.247,121.339,51.831,28.682,143.04,2.078,0.4,2.143,0.8574,40.031,0.7004,0.4388,0.6503,0.02211,0.6387,0.1177,0,0.0506,15.66,Normal
DF-S061,White,Open field,20,28.654,164.075,53.48,27.66,126.597,1.96,0.381,2.153,0.8896,35.271,0.6633,0.3914,0.6958,0.01868,0.61,0.1081,0,0.0804,18.58,Normal
DF-S062,Red,Open field,10,29.772,137.407,46.017,19.033,126.569,1.824,0.324,2.014,0.8369,33.48,0.6458,0.3461,0.6444,0.01954,0.6165,0.1382,0,0.1091,22.77,Normal
DF-S063,White,High tunnel,0,29.861,151.546,38.815,23.955,82.358,1.847,0.351,1.539,0.8569,30.536,0.6284,0.3506,0.6558,0.0173,0.6166,0.1146,0,0.1145,23.37,Normal
DF-S064,White,High tunnel,20,29.42,188.597,44.181,24.356,145.774,1.922,0.378,2.32,0.9007,35.985,0.6839,0.403,0.7025,0.02149,0.622,0.0992,0,0.0649,16.81,Normal
DF-S065,Red,Open field,10,30.319,119.871,50.583,18.522,112.693,1.885,0.309,1.888,0.8379,35.773,0.6675,0.3847,0.6465,0.02058,0.6184,0.1194,0,0.1001,21.09,Normal
DF-S066,White,Open field,20,28.437,113.64,54.055,34.491,162.474,1.983,0.46,2.375,0.8553,35.122,0.6802,0.3934,0.6604,0.0208,0.6337,0.1216,0,0.0932,19.52,Normal
DF-S067,Red,High tunnel,5,27.943,108.475,33.234,17.278,106.453,1.785,0.269,1.799,0.8163,29.952,0.6092,0.3332,0.6064,0.01924,0.5978,0.1423,0,0.0614,24.66,Normal
DF-S068,Red,High tunnel,5,28.698,108.066,38.6,19.78,107.975,1.899,0.364,1.877,0.8239,35.707,0.6834,0.4004,0.6139,0.0211,0.6254,0.127,0,0.0816,20.15,Normal
DF-S069,Red,High tunnel,10,30.008,82.899,51.963,23.504,128.482,2.02,0.341,2.141,0.7857,36.779,0.6905,0.4096,0.5994,0.02186,0.6319,0.1411,0,0.0925,21.24,Normal
DF-S070,Yellow,Open field,20,29.688,139.862,45.692,22.624,142.624,1.902,0.393,2.307,0.8603,35.607,0.6751,0.3971,0.6533,0.01947,0.6198,0.1052,0,0.0724,18.8,Normal
DF-S071,Red,Open field,5,31.382,126.08,39.451,15.105,107.001,1.785,0.269,1.911,0.8313,31.478,0.6426,0.3402,0.6296,0.01769,0.6102,0.1243,0,0.2682,30.1,Normal
DF-S072,White,High tunnel,10,26.899,146.803,41.417,23.345,117.686,1.888,0.365,1.97,0.8629,34.631,0.6715,0.3904,0.6618,0.02131,0.6182,0.1123,0,0.0727,18.9,Normal
DF-S073,White,High tunnel,0,30.128,162.355,39.243,16.035,73.377,1.854,0.267,1.484,0.8879,32.98,0.641,0.3638,0.6873,0.01875,0.6025,0.1059,0,0.1086,21.28,Normal
DF-S074,White,High tunnel,5,31.483,118.186,38.623,21.269,119.61,1.78,0.356,1.966,0.8126,30.871,0.6411,0.3394,0.6126,0.01857,0.5918,0.1264,0,0.2545,30.12,Normal
DF-S075,Red,High tunnel,5,26.919,123.244,35.469,24.924,108.113,1.812,0.376,1.817,0.8418,29.517,0.6329,0.3382,0.6246,0.01959,0.6095,0.1297,0,0.0823,23.56,Normal
DF-S076,White,High tunnel,20,30.014,88.376,52.95,29.683,160.845,1.921,0.438,2.416,0.7984,36.844,0.6878,0.409,0.6007,0.02033,0.6223,0.1349,0,0.1168,22.1,Normal
DF-S077,Red,High tunnel,20,28.504,169.539,48.929,24.749,137.894,1.989,0.424,2.039,0.8965,35.204,0.6711,0.4017,0.7076,0.02041,0.6324,0.098,0,0.0617,17.13,Normal
DF-S078,White,High tunnel,5,27.92,84.073,38.23,19.829,110.554,1.762,0.352,1.744,0.8077,31.166,0.6385,0.3245,0.6054,0.01831,0.6005,0.141,0,0.1029,26.02,Normal
DF-S079,Red,High tunnel,0,31.13,125.312,40.644,18.685,103.501,1.744,0.323,1.688,0.8433,29.408,0.6122,0.3322,0.6403,0.01851,0.6021,0.1278,0,0.2081,29.49,Normal
DF-S080,White,High tunnel,10,29.496,126.635,52.946,23.134,124.521,1.949,0.371,2.086,0.8493,37.193,0.6836,0.4147,0.6517,0.02097,0.6304,0.1207,0,0.0923,19.16,Normal
DF-S081,White,Open field,10,28.683,104.965,53.561,25.96,134.731,1.992,0.405,2.044,0.8284,34.959,0.6808,0.4014,0.6272,0.02085,0.6245,0.1227,0,0.0998,20.65,Normal
DF-S082,White,Open field,0,26.609,159.092,34.933,20.003,83.912,1.89,0.36,1.626,0.911,33.736,0.6689,0.373,0.7017,0.02015,0.6065,0.1003,0,0.0262,16.29,Normal
DF-S083,White,Open field,5,29.883,121.459,39.5,25.141,107.315,1.755,0.366,1.732,0.8407,31.843,0.6425,0.3342,0.6553,0.02016,0.6145,0.1228,0,0.1047,24.23,Normal
DF-S084,Red,High tunnel,0,29.538,140.868,40.298,14.029,80.449,1.859,0.278,1.472,0.87,35.844,0.6721,0.3852,0.6657,0.02213,0.6226,0.1141,0,0.1115,20.07,Normal
DF-S085,Red,High tunnel,20,29.231,151.224,55.268,31.857,141.729,2.026,0.441,2.252,0.8786,36.777,0.6871,0.4162,0.6734,0.02134,0.6392,0.1091,0,0.0528,16.7,Normal
DF-S086,Red,Open field,10,29.392,125.3,39.906,24.58,118.352,1.903,0.379,1.985,0.8506,33.85,0.6491,0.3787,0.6443,0.01925,0.6034,0.1195,0,0.0727,21.05,Normal
DF-S087,White,High tunnel,10,27.623,100.247,45.148,21.185,126.674,1.906,0.356,1.997,0.8115,34.474,0.656,0.3919,0.6134,0.02021,0.5999,0.1302,0,0.0881,22.42,Normal
DF-S088,White,High tunnel,5,31.137,140.07,34.379,25.406,109.912,1.76,0.42,1.89,0.8554,31.896,0.6504,0.3447,0.6503,0.01845,0.6027,0.1121,0,0.228,28.8,Normal
DF-S089,Red,High tunnel,10,29.047,136.099,40.354,24.603,123.022,1.89,0.371,2.002,0.8528,34.346,0.6686,0.3816,0.6435,0.02076,0.626,0.1318,0,0.0957,20.7,Normal
DF-S090,White,Open field,5,32.131,151.371,39.453,25.837,92.031,1.812,0.397,1.711,0.8433,33.788,0.6608,0.363,0.6488,0.01966,0.6134,0.1189,0,0.2854,31.2,Normal
DF-S091,Red,High tunnel,20,30.023,81.575,47.783,27.3,163.138,1.98,0.42,2.388,0.7759,36.716,0.6642,0.4033,0.5754,0.0208,0.6207,0.1402,0,0.0832,22.65,Normal
DF-S092,Yellow,High tunnel,0,31.464,158.737,32.634,18.976,75.802,1.699,0.359,1.444,0.8686,29.695,0.6172,0.3205,0.6735,0.01733,0.5915,0.1101,1,0.627,43.74,Monitor
DF-S093,White,High tunnel,10,30.118,145.233,48.991,22.173,128.119,1.992,0.322,2.021,0.8477,38.648,0.7002,0.4288,0.6418,0.02319,0.65,0.1202,0,0.0832,18.4,Normal
DF-S094,Red,High tunnel,20,26.334,108.217,47.068,30.751,155.983,1.85,0.427,2.239,0.8211,33.574,0.6624,0.3788,0.6188,0.01924,0.612,0.126,0,0.0616,21.58,Normal
DF-S095,White,Open field,20,27.519,152.304,51.982,27.267,141.224,2.043,0.382,2.197,0.9003,36.724,0.6828,0.4312,0.7008,0.02203,0.6256,0.1087,0,0.0888,17.37,Normal
DF-S096,White,Open field,0,28.518,123.952,30.655,18.731,96.342,1.788,0.314,1.631,0.833,31.954,0.6386,0.3492,0.6258,0.02009,0.6068,0.1197,0,0.092,23.72,Normal
DF-S097,Red,Open field,5,27.917,77.808,42.589,23.577,119.861,1.849,0.399,1.915,0.7851,34.396,0.6372,0.3678,0.5882,0.02034,0.6045,0.1598,0,0.1086,26.62,Normal
DF-S098,Red,Open field,10,30.813,108.439,46.748,27.936,122.461,1.936,0.415,2.001,0.8337,37.702,0.6816,0.4237,0.6269,0.02109,0.6281,0.1284,0,0.1099,21.48,Normal
DF-S099,Red,Open field,10,28.537,99.977,43.552,25.173,130.533,1.88,0.36,2.011,0.799,34.28,0.6439,0.3786,0.5982,0.01868,0.6157,0.1352,0,0.1112,23.43,Normal
DF-S100,Red,High tunnel,20,28.108,110.187,48.828,27.079,151.457,1.943,0.402,2.354,0.8188,34.886,0.6602,0.393,0.6198,0.02039,0.6081,0.1302,0,0.0745,21.07,Normal
DF-S101,Red,Open field,20,30.336,152.237,56.44,23.944,137.036,2.061,0.391,2.209,0.8671,39.541,0.7204,0.4513,0.6628,0.02223,0.6483,0.1176,0,0.0514,14.72,Normal
DF-S102,White,Open field,0,28.67,147.852,38.427,15.489,77.403,1.894,0.287,1.433,0.8719,34.926,0.6842,0.384,0.6741,0.01972,0.6202,0.1126,0,0.0913,18.81,Normal
DF-S103,Red,Open field,5,28.063,102.173,41.603,25.719,110.07,1.866,0.404,1.757,0.813,34.918,0.6491,0.3713,0.6178,0.02041,0.6008,0.1344,0,0.0985,23.33,Normal
DF-S104,Red,Open field,20,27.704,96.355,54.177,29.345,156.653,1.943,0.448,2.28,0.8156,35.253,0.6629,0.3989,0.6143,0.021,0.6029,0.1347,0,0.0987,21.87,Normal
DF-S105,Red,Open field,0,30.109,95.788,38.527,21.578,91.564,1.786,0.314,1.635,0.7838,29.81,0.6082,0.3276,0.5872,0.01903,0.5801,0.1453,0,0.123,28.55,Normal
DF-S106,White,Open field,20,30.159,101.075,42.225,29.523,157.062,1.774,0.4,2.304,0.803,31.707,0.6323,0.3599,0.5997,0.01863,0.6036,0.1353,0,0.0924,23.73,Normal
DF-S107,White,High tunnel,20,26.532,157.885,49.764,27.444,143.382,1.849,0.428,2.252,0.8791,31.95,0.6343,0.3653,0.68,0.01907,0.606,0.1045,0,0.0727,20.15,Normal
DF-S108,White,Open field,10,28.679,120.826,45.96,29.395,130.813,1.906,0.422,2.041,0.8354,35.762,0.6643,0.3991,0.6301,0.01993,0.6226,0.1229,0,0.1001,20.98,Normal
DF-S109,Red,Open field,10,28.556,130.358,49.968,23.943,117.565,1.949,0.351,1.969,0.8514,37.632,0.6736,0.4183,0.6368,0.02148,0.6225,0.1217,0,0.0811,19.88,Normal
DF-S110,White,High tunnel,5,31.039,139.608,37.807,24.04,109.533,1.888,0.379,1.841,0.8562,34.519,0.6667,0.3814,0.651,0.01978,0.6035,0.1166,0,0.2536,28.45,Normal
DF-S111,White,High tunnel,20,29.408,142.074,46.043,33.752,146.236,1.933,0.477,2.257,0.8446,35.498,0.6717,0.4003,0.6423,0.02087,0.6204,0.1187,0,0.0873,19.83,Normal
DF-S112,Red,Open field,0,27.285,132.528,41.832,22.802,86.936,1.788,0.38,1.678,0.8402,31.11,0.6328,0.3377,0.6432,0.01899,0.6061,0.1291,0,0.0939,23.7,Normal
DF-S113,Red,Open field,10,29.207,125.945,46.214,27.556,120.019,1.939,0.41,2.04,0.8453,36.927,0.6904,0.4165,0.6414,0.02154,0.626,0.1274,0,0.0757,18.43,Normal
DF-S114,White,High tunnel,5,26.257,110.644,47.453,26.541,109.056,1.918,0.383,1.796,0.8379,35.028,0.6637,0.403,0.6298,0.02053,0.6077,0.1389,0,0.0707,20.98,Normal
DF-S115,Red,High tunnel,20,26.906,86.037,55.469,29.165,155.054,1.966,0.403,2.322,0.8027,34.847,0.6487,0.3924,0.6016,0.02026,0.6027,0.1471,0,0.0826,22.75,Normal
DF-S116,White,Open field,10,29.517,81.775,48.985,29.109,138.913,1.916,0.411,2.164,0.7809,35.404,0.644,0.3954,0.5759,0.02078,0.6072,0.1491,0,0.1064,23.67,Normal
DF-S117,Red,High tunnel,0,27.794,116.635,38.507,22.394,90.07,1.812,0.36,1.563,0.8327,31.501,0.6367,0.346,0.6269,0.02044,0.6122,0.1332,0,0.1027,24.03,Normal
DF-S118,White,High tunnel,0,27.64,128.732,37.199,22.857,89.849,1.886,0.367,1.538,0.8546,33.832,0.6599,0.3763,0.6417,0.01978,0.6144,0.1204,0,0.0777,20.76,Normal
DF-S119,White,High tunnel,20,29.275,95.19,50.449,29.878,163.367,1.936,0.422,2.391,0.805,34.792,0.6676,0.3905,0.5962,0.01978,0.6148,0.1316,0,0.0688,21.16,Normal
DF-S120,White,Open field,5,30.198,95.321,39.64,18.398,113.543,1.865,0.316,1.927,0.8052,33.94,0.6384,0.372,0.5967,0.01874,0.5984,0.1329,0,0.1012,23.74,Normal
DF-S121,Red,High tunnel,20,29.803,85.206,48.463,27.245,162.446,1.96,0.388,2.351,0.7962,38.262,0.6821,0.4194,0.5921,0.02192,0.6275,0.1427,0,0.0708,20.39,Normal
DF-S122,Red,Open field,5,32.018,144.396,38.65,20.457,92.65,1.709,0.312,1.689,0.8444,28.413,0.6036,0.315,0.6485,0.01706,0.5977,0.1215,1,0.6986,48.24,Monitor
DF-S123,White,Open field,10,27.354,164.562,43.354,25.403,114.558,1.792,0.358,1.936,0.8992,32.152,0.6614,0.3548,0.6975,0.01984,0.5984,0.0993,0,0.0847,19.79,Normal
DF-S124,Red,Open field,10,30.244,119.089,46.248,22.124,123.405,1.98,0.355,2.052,0.83,37.829,0.691,0.4261,0.6185,0.02206,0.6361,0.1318,0,0.0668,19.05,Normal
DF-S125,White,Open field,0,30.285,91.536,43.633,24.651,105.376,1.805,0.42,1.744,0.7965,31.098,0.6238,0.3431,0.5864,0.01844,0.6025,0.1465,0,0.0866,25.62,Normal
DF-S126,White,High tunnel,5,29.499,140.529,46.549,23.138,105.078,1.917,0.368,1.896,0.8616,35.262,0.6825,0.408,0.6496,0.02144,0.6307,0.1205,0,0.1004,19.4,Normal
DF-S127,Red,Open field,20,30.913,104.712,53.163,30.283,164.975,1.997,0.43,2.301,0.8285,35.513,0.6673,0.4123,0.6179,0.02118,0.6192,0.1271,0,0.1895,23.88,Normal
DF-S128,White,Open field,0,28.508,104.934,36.747,17.324,105.877,1.863,0.311,1.764,0.8337,33.723,0.6397,0.3676,0.618,0.01968,0.5996,0.1275,0,0.0732,22.09,Normal
DF-S129,Red,High tunnel,5,27.714,109.354,46.566,21.964,105.737,1.892,0.327,1.821,0.8195,35.357,0.6777,0.4025,0.6116,0.02031,0.6256,0.135,0,0.0683,20.59,Normal
DF-S130,White,High tunnel,10,28.711,136.822,46.583,25.478,125.464,1.915,0.4,2.06,0.8592,35.699,0.6785,0.4006,0.6536,0.02076,0.6265,0.115,0,0.0764,18.89,Normal
DF-S131,White,Open field,20,27.538,130.763,50.878,32.29,153.816,1.91,0.456,2.342,0.8631,34.877,0.6662,0.3922,0.6554,0.02062,0.6202,0.1178,0,0.0826,19.67,Normal
DF-S132,Red,High tunnel,10,30.084,125.421,47.968,19.762,125.054,1.991,0.336,2.01,0.8397,37.254,0.688,0.4239,0.6242,0.02131,0.6349,0.1253,0,0.096,20.0,Normal
DF-S133,Red,High tunnel,0,29.417,125.217,37.443,20.769,98.265,1.782,0.356,1.732,0.8417,31.565,0.6338,0.3429,0.6318,0.01928,0.6052,0.1298,0,0.0848,23.49,Normal
DF-S134,Yellow,Open field,10,26.628,132.434,47.575,21.463,124.463,1.898,0.336,2.002,0.8656,35.291,0.6757,0.3972,0.658,0.02012,0.6287,0.1116,0,0.0631,18.69,Normal
DF-S135,White,High tunnel,5,29.741,134.758,37.631,23.215,115.021,1.844,0.401,1.881,0.8423,34.542,0.6648,0.3693,0.6352,0.02034,0.6131,0.1267,0,0.0915,21.5,Normal
